55.860818 -4.256766 | 4 12-4 13 12 renfield st suite 12-13 | glasgow | lanarkshire | g2 5al
55.867002 -4.273040 | 4 woodside pl | glasgow | lanarkshire | g3 7qf
55.888274 -4.188481 | orion house 7 robroyston oval | glasgow | lanarkshire | g33 1ap
55.815152 -4.355398 | 255 househillmuir rd | glasgow | lanarkshire | g53 6nl
55.861656 -4.256861 | 90 st vincent st | glasgow | lanarkshire | g2 5ub
55.860390 -4.259661 | 19 waterloo st | glasgow | lanarkshire | g2 6ay
55.864200 -4.223197 | 368 alexandra parade | glasgow | dunbartonshire | g31 3au
55.801025 -4.322515 | 72 spiersbridge rd | glasgow | lanarkshire | g46 7sn
55.951146 -4.327421 | 84 crawford rd | glasgow | lanarkshire | g62 7lf
55.845302 -4.229500 | 34 tullis gardens | glasgow | lanarkshire | g40 1ah
55.779373 -4.162807 | 3 lees burn ct | glasgow | lanarkshire | g74 3xb
55.850879 -4.224973 | park lane | glasgow | lanarkshire | g40 2qw
55.847936 -4.290464 | 211 maclellan st | glasgow | lanarkshire | g41 1rr
55.820965 -4.299433 | 239 shawbridge st unit 8 | glasgow | lanarkshire | g43 1qn
55.737242 -4.170377 | 7 langlands square | glasgow | lanarkshire | g75 0yy
55.879929 -4.341639 | scotstoun stadium danes dr | glasgow | lanarkshire | g14 9hd
55.857794 -4.260844 | 58 robertson st building 58 | glasgow | lanarkshire | g2 8dq
55.847597 -4.250269 | 225 cumberland st | glasgow | lanarkshire | g5 0sr
55.858882 -4.139060 | 29-31 garvel rd | glasgow | lanarkshire | g33 4pr
55.872578 -4.282395 | 27 gibson st | glasgow | lanarkshire | g12 8nx
55.915419 -4.321581 | 73 milngavie rd unit 2 | glasgow | lanarkshire | g61 2dw
55.870564 -4.315742 | 561 dumbarton rd | glasgow | lanarkshire | g11 6hu
55.868923 -4.279057 | 25 park circus | glasgow | lanarkshire | g3 6ap
55.804402 -4.217677 | 6 ardencraig st | glasgow | lanarkshire | g45 0er
56.057935 -4.417715 | sunnyside balfron station | glasgow | lanarkshire | g63 0nh
55.777819 -4.177202 | 5 law pl | glasgow | lanarkshire | g74 4ql
55.805644 -4.228247 | 65 glenwood pl unit 6 | glasgow | lanarkshire | g45 9uh
55.857497 -4.247555 | 144 trongate | glasgow | lanarkshire | g1 5en
55.803587 -4.294550 | 229 fenwick rd | glasgow | lanarkshire | g46 6jq
55.888888 -4.201886 | 70 rockfield rd | glasgow | lanarkshire | g21 3dz
55.841069 -4.158091 | 9 hamilton rd | glasgow | lanarkshire | g32 9qd
55.837960 -4.264057 | 343 victoria rd | glasgow | lanarkshire | g42 7sa
55.861769 -4.254868 | 50 west nile st | glasgow | lanarkshire | g1 2np
55.921475 -4.053214 | 18c cumbernauld rd | glasgow | lanarkshire | g67 4hn
55.897651 -4.207051 | 239 auchinairn rd | glasgow | lanarkshire | g64 1jh
55.804480 -4.321118 | 1 spiersbridge way thornliebank | glasgow | lanarkshire | g46 8ng
55.876128 -4.293092 | 297-299 byres rd | glasgow | lanarkshire | g12 8tj
55.863310 -4.378522 | merlin house mossland rd | glasgow | lanarkshire | g52 4xz
55.860674 -4.251891 | 5 st. vincent pl buildings 5 | glasgow | lanarkshire | g1 2dh
55.891304 -4.203850 | 227 wallacewell rd | glasgow | lanarkshire | g21 3pr
55.854500 -4.311975 | 322 broomloan rd | glasgow | lanarkshire | g51 2jq
55.937646 -4.154391 | 12 10 townhead | glasgow | lanarkshire | g66 1nl
55.813712 -4.266924 | 215 clarkston rd | glasgow | lanarkshire | g44 3ds
55.859945 -4.111574 | clydesdale house glasgow business park baillieston | glasgow | lanarkshire | g69 6ga
55.818579 -4.167423 | 2a greenlees rd cambuslang | glasgow | lanarkshire | g72 8jj
55.858624 -4.251829 | centrum house 38 queen st | glasgow | lanarkshire | g1 3dx
55.859384 -4.260682 | 136-137 baltic chambers | glasgow | lanarkshire | g2 6hj
55.863207 -4.149266 | 44 coltness lane unit a13 | glasgow | lanarkshire | g33 4dr
55.863718 -4.368750 | 45 kelvin ave | glasgow | lanarkshire | g52 4lf
55.942034 -4.316457 | 7 station rd | glasgow | lanarkshire | g62 8pg
55.813423 -4.314151 | 58 forties crescent thornliebank | glasgow | lanarkshire | g46 8js
55.804074 -4.325412 | thornliebank industrial estate block 1 | glasgow | lanarkshire | g46 8jr
55.833468 -4.228236 | 38 southcroft rd | glasgow | lanarkshire | g73 1ug
55.831876 -4.279212 | 18 minard rd | glasgow | lanarkshire | g41 2hn
55.893579 -4.136077 | buchanan tower buchanan business park cumbernauld rd suite 11 | glasgow | lanarkshire | g33 6hz
55.854086 -4.246401 | 46 carlton pl | glasgow | lanarkshire | g5 9tw
55.779889 -4.090014 | prospect ct unit 10 | glasgow | lanarkshire | g72 0ja
55.885791 -4.283435 | 1061 maryhill rd | glasgow | lanarkshire | g20 9ax
